市名,mOSMNorth,mOSMSouth,mOSMEast,mOSMWest
阿坝藏族羌族自治州,34.315239,30.59529,104.434109,100.525204
阿克苏地区,42.647053,39.463565,84.084657,78.024406
阿拉尔市,40.943376,40.355693,81.97584,80.589897
阿拉善盟,42.794532,37.406647,106.86202,97.17172
阿勒泰地区,49.183097,45.00035,91.073824,85.526535
阿里地区,35.859526,29.679022,86.326504,78.386053
安康市,33.842666,31.706862,110.201225,108.015992
安庆市,31.271237,29.783737,117.246397,115.756021
安顺市,26.628714,25.356946,106.562501,105.248957
安阳市,36.366508,35.20554,114.982496,113.625891
鞍山市,43.215963,40.000345,124.885431,122.186806
澳门特别行政区,22.217034,22.109142,113.598861,113.528164
巴彦淖尔市,42.462091,40.16753,109.881554,105.195084
巴音郭楞蒙古自治州,43.561166,35.640208,93.819683,82.467724
巴中市,32.740879,31.248315,107.759744,106.357922
白城市,46.302152,44.230784,124.367724,121.638964
白沙黎族自治县,19.488376,18.937871,109.699538,109.032785
白山市,42.841422,41.360626,128.312161,126.114488
白银市,37.631948,35.412459,105.526125,103.545122
百色市,25.101579,22.855694,107.882946,104.446538
蚌埠市,33.501857,32.716112,118.072419,116.725518
包头市,42.734837,40.244194,111.44199,109.248333
宝鸡市,35.104262,33.580744,108.04886,106.306806
保定市,39.951284,38.234144,116.330223,113.759949
保山市,25.86032,24.124753,100.045911,98.088629
保亭黎族苗族自治县,18.834568,18.389374,109.848063,109.40046
北海市,21.921413,20.902306,109.771773,108.850064
北京市,41.058964,39.442078,117.508251,115.416827
北屯市,47.39076,47.114548,88.4278,87.524563
本溪市,41.565957,40.813884,125.785614,123.583887
毕节市,27.778814,26.36229,106.722612,103.599417
滨州市,38.276936,36.689386,118.38154,117.257084
亳州市,34.081038,32.858931,116.823251,115.540124
博尔塔拉蒙古自治州,45.385658,44.002881,83.795944,79.886158
沧州市,38.947409,37.475394,117.941255,115.699278
昌都市,32.589372,28.439049,99.115351,93.592975
昌吉回族自治州,45.487139,43.097928,91.56751,85.577098
昌江黎族自治县,19.508575,18.879996,109.293727,108.661286
常德市,30.1287,28.408119,112.299861,110.486674
常州市,32.061634,31.153239,120.200957,119.135691
朝阳市,42.386827,40.598024,121.296352,118.839668
潮州市,24.235436,23.427579,117.188675,116.363788
郴州市,26.840772,24.893635,114.232231,112.224235
成都市,31.437765,30.090979,104.896262,102.989623
承德市,42.615453,40.190136,119.242791,115.90347
澄迈县,20.001205,19.374751,110.258499,109.721416
池州市,30.84665,29.564957,118.129666,116.644149
赤峰市,45.250266,41.286649,120.982688,116.349865
崇左市,23.355089,21.595713,108.111615,106.557094
滁州市,33.218115,31.847921,119.223666,117.153866
楚雄彝族自治州,26.502333,24.223743,102.482263,100.718616
达州市,32.339162,30.324352,108.54257,106.662349
大理白族自治州,26.700643,24.664127,101.042347,98.863234
大连市,40.202828,38.72154,123.515556,120.971313
大庆市,47.476406,45.376971,125.802361,123.748396
大同市,40.744953,39.046682,114.56294,112.571835
大兴安岭地区,53.560901,50.900481,127.024204,121.183134
丹东市,41.156078,39.743208,125.700699,123.371059
儋州市,19.917726,19.181812,109.765121,108.933905
德宏傣族景颇族自治州,25.337898,23.843478,98.727094,97.527278
德阳市,31.700705,30.527411,105.171518,103.79196
德州市,38.011177,36.408948,117.600642,115.755505
迪庆藏族自治州,29.225286,26.869271,100.30796,98.594439
定安县,19.730812,19.213755,110.549733,110.116584
定西市,36.045212,34.126048,105.646642,103.466083
东方市,19.315308,18.718508,109.12229,108.614575
东莞市,23.144867,22.659696,114.255502,113.512257
东营市,38.14745,36.935978,119.302076,118.106311
鄂尔多斯市,40.880776,37.620923,111.456693,106.478327
鄂州市,30.618309,30.016812,115.086097,114.499293
恩施土家族苗族自治州,31.399864,29.1171,110.638083,108.362545
防城港市,22.374634,21.499391,108.525495,107.480584
佛山市,23.575946,22.645226,113.387986,112.384597
福州市,26.638446,25.293046,120.511348,118.376349
抚顺市,42.476388,41.242011,125.484396,123.658384
抚州市,40.256391,8.972204,124.57284,110.481394
阜新市,42.840847,41.692644,122.965275,121.022596
阜阳市,33.586067,32.405621,116.630621,114.878463
甘南藏族自治州,35.589432,33.106303,104.759988,100.762581
甘孜藏族自治州,34.211642,27.966517,102.489586,97.347493
赣州市,27.146782,24.487716,116.645151,113.908234
固原市,36.519953,35.238497,106.954878,105.320852
广安市,30.842716,30.018225,107.302061,105.9438
广东省东沙群岛,20.710606,20.697522,116.730883,116.706301
广元市,32.935201,31.529642,106.772223,104.612116
广州市,23.935966,22.562803,114.054546,112.953161
贵港市,24.044023,22.657699,110.658465,109.202709
贵阳市,27.359233,26.184423,107.274596,106.118985
桂林市,26.388528,24.261256,111.488176,109.613636
果洛藏族自治州,35.62167,32.52547,101.776495,96.934534
哈尔滨市,46.672379,44.060088,130.233566,125.679669
哈密市,45.100096,40.871493,96.384783,91.151549
海北藏族自治州,39.089185,36.747863,102.640477,98.093186
海东市,37.148522,35.455002,103.068897,101.663782
海口市,20.091436,19.525743,110.709128,110.125592
海南藏族自治州,37.173756,34.642694,101.772639,98.920841
海西蒙古族藏族自治州,39.212599,32.723163,99.696902,89.632627
海西蒙古族自治州,38.762344,38.227695,95.95476,94.274596
邯郸市,37.02111,36.048718,115.481297,113.454863
汉中市,33.879457,32.147807,108.280271,105.488313
杭州市,30.565108,29.188585,120.714013,118.339684
合肥市,32.541079,30.952887,117.960684,116.682679
